Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2308,1,0,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,33609,19744,13865
C2308,1,0,State - JAMMU & KASHMIR,Total,0-6,2018905,1084355,934550,2018905,1084355,934550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,1,0,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,91361,45646,45715,179177,96477,82700,3570,2216,1354,173571,93095,80476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,1166,870
C2308,1,0,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,59762,28675,31087,225552,121795,103757,2704,1683,1021,221202,119170,102032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,942,704
C2308,1,0,State - JAMMU & KASHMIR,Total,9,252100,133371,118729,38753,18136,20617,213347,115235,98112,2339,1460,879,184326,99450,84876,25468,13603,11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,722,492
C2308,1,0,State - JAMMU & KASHMIR,Total,10,314283,166773,147510,52112,24445,27667,262171,142328,119843,3122,1942,1180,169454,92110,77344,88107,47399,40708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,877,611
C2308,1,0,State - JAMMU & KASHMIR,Total,11,282049,149261,132788,34140,15096,19044,247909,134165,113744,2548,1596,952,79047,43037,36010,165167,88841,76326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,691,456
C2308,1,0,State - JAMMU & KASHMIR,Total,12,289798,152365,137433,32002,12876,19126,257796,139489,118307,2501,1551,950,31534,16983,14551,192027,103528,88499,30766,16845,13921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,582,386
C2308,1,0,State - JAMMU & KASHMIR,Total,13,261079,136728,124351,25759,9823,15936,235320,126905,108415,2140,1362,778,12837,6704,6133,146946,79387,67559,72616,39019,33597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,433,348
C2308,1,0,State - JAMMU & KASHMIR,Total,14,266644,139728,126916,26780,9706,17074,239864,130022,109842,2232,1323,909,6841,3535,3306,83818,45704,38114,146258,79052,67206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,408,307
C2308,1,0,State - JAMMU & KASHMIR,Total,15,270992,140502,130490,32536,11447,21089,238456,129055,109401,2253,1334,919,4942,2539,2403,43164,23142,20022,130422,70604,59818,56930,31024,25906,0,0,0,0,0,0,0,0,0,0,0,0,745,412,333
C2308,1,0,State - JAMMU & KASHMIR,Total,16,263041,136077,126964,32564,10834,21730,230477,125243,105234,2213,1286,927,4149,2101,2048,25663,13555,12108,93754,51073,42681,104062,56842,47220,0,0,0,0,0,0,0,0,0,0,0,0,636,386,250
C2308,1,0,State - JAMMU & KASHMIR,Total,17,221619,115421,106198,26748,8943,17805,194871,106478,88393,2018,1166,852,3164,1622,1542,16673,9070,7603,57410,31379,26031,115097,62951,52146,0,0,0,0,0,0,0,0,0,0,0,0,509,290,219
C2308,1,0,State - JAMMU & KASHMIR,Total,18,276216,141830,134386,44924,14734,30190,231292,127096,104196,3097,1735,1362,4220,2177,2043,20154,10823,9331,58666,31782,26884,75302,42103,33199,65397,35916,29481,324,238,86,3435,1930,1505,0,0,0,697,392,305
C2308,1,0,State - JAMMU & KASHMIR,Total,19,205594,106532,99062,30530,9453,21077,175064,97079,77985,2427,1395,1032,3162,1734,1428,13388,7354,6034,38861,21167,17694,46585,26300,20285,67000,36895,30105,252,197,55,2878,1746,1132,0,0,0,511,291,220
C2308,1,0,State - JAMMU & KASHMIR,Total,20-24,1160913,603578,557335,236770,74478,162292,924143,529100,395043,19979,11961,8018,15724,8899,6825,79859,43425,36434,206526,114635,91891,200946,121211,79735,248884,145756,103128,1297,900,397,12302,7673,4629,135825,73058,62767,2801,1582,1219
C2308,1,0,State - JAMMU & KASHMIR,Total,25-29,1086122,584559,501563,288543,91443,197100,797579,493116,304463,30528,19990,10538,11823,7002,4821,67557,37803,29754,194441,115669,78772,188368,127065,61303,141613,93492,48121,804,583,221,8848,5554,3294,150764,84212,66552,2833,1746,1087
C2308,1,0,State - JAMMU & KASHMIR,Total,30-34,926903,495746,431157,306329,99864,206465,620574,395882,224692,24349,15836,8513,11187,6783,4404,64090,36297,27793,167763,107496,60267,153182,105311,47871,91333,59819,31514,555,416,139,6751,4360,2391,98874,58000,40874,2490,1564,926
C2308,1,0,State - JAMMU & KASHMIR,Total,35-39,837945,441265,396680,334354,111560,222794,503591,329705,173886,19859,12627,7232,10099,6230,3869,58909,33521,25388,140361,93308,47053,129039,89344,39695,63919,43153,20766,349,269,80,5325,3582,1743,73477,46303,27174,2254,1368,886
C2308,1,0,State - JAMMU & KASHMIR,Total,40-44,714085,387739,326346,329222,121203,208019,384863,266536,118327,16432,10910,5522,8815,5692,3123,47421,28149,19272,102847,72814,30033,106239,77929,28310,40175,28811,11364,272,219,53,3350,2486,864,57241,38268,18973,2071,1258,813
C2308,1,0,State - JAMMU & KASHMIR,Total,45-49,590790,311560,279230,302284,110010,192274,288506,201550,86956,12551,7965,4586,7421,4973,2448,41419,25326,16093,77800,57034,20766,76903,55749,21154,22589,16172,6417,222,188,34,2695,2177,518,45192,30950,14242,1714,1016,698
C2308,1,0,State - JAMMU & KASHMIR,Total,50-54,468566,255599,212967,258639,103650,154989,209927,151949,57978,9289,5921,3368,5839,4145,1694,31394,20402,10992,56574,43160,13414,58349,43519,14830,13502,9819,3683,156,133,23,1824,1494,330,31610,22526,9084,1390,830,560
C2308,1,0,State - JAMMU & KASHMIR,Total,55-59,340031,172753,167278,198533,69481,129052,141498,103272,38226,6519,3905,2614,4192,2850,1342,20914,13423,7491,33754,25583,8171,40678,31053,9625,8876,6692,2184,126,110,16,1212,980,232,24270,18154,6116,957,522,435
C2308,1,0,State - JAMMU & KASHMIR,Total,60-64,322726,173427,149299,215827,91666,124161,106899,81761,25138,5929,3704,2225,4337,3159,1178,19574,13654,5920,24371,19086,5285,27964,22549,5415,5667,4511,1156,109,79,30,881,749,132,16938,13622,3316,1129,648,481
C2308,1,0,State - JAMMU & KASHMIR,Total,65-69,203965,102743,101222,143660,56652,87008,60305,46091,14214,3918,2307,1611,2916,2076,840,11918,8437,3481,13447,10303,3144,14556,11919,2637,2857,2304,553,80,63,17,576,499,77,9206,7705,1501,831,478,353
C2308,1,0,State - JAMMU & KASHMIR,Total,70-74,184019,97472,86547,143086,65465,77621,40933,32007,8926,3686,2183,1503,2802,2078,724,9699,7372,2327,8693,6903,1790,8160,6977,1183,1543,1260,283,101,55,46,326,288,38,5128,4451,677,795,440,355
C2308,1,0,State - JAMMU & KASHMIR,Total,75-79,85076,43094,41982,65613,28154,37459,19463,14940,4523,1917,1078,839,1452,1072,380,5001,3722,1279,4164,3208,956,3646,3164,482,621,513,108,45,27,18,176,150,26,2024,1767,257,417,239,178
C2308,1,0,State - JAMMU & KASHMIR,Total,80+,126870,65844,61026,99121,45534,53587,27749,20310,7439,3006,1732,1274,2010,1511,499,6691,5092,1599,5815,4336,1479,4912,3935,977,1777,1255,522,73,50,23,211,161,50,2626,1911,715,628,327,301
C2308,1,0,State - JAMMU & KASHMIR,Total,Age not stated,15119,9747,5372,5212,2662,2550,9907,7085,2822,4657,3841,816,708,403,305,888,483,405,1072,673,399,1055,727,328,684,432,252,16,15,1,32,25,7,589,352,237,206,134,72
C2308,1,0,State - JAMMU & KASHMIR,Rural,All ages,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201,114239,71510,42729,763590,419327,344263,999472,564510,434962,1243109,770561,472548,887397,583213,304184,445283,282329,162954,2833,2149,684,14721,10723,3998,254288,173914,80374,23018,13513,9505
C2308,1,0,State - JAMMU & KASHMIR,Rural,0-6,1593008,854141,738867,1593008,854141,738867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,1,0,State - JAMMU & KASHMIR,Rural,7,211924,111149,100775,76025,37793,38232,135899,73356,62543,2555,1603,952,131780,70847,60933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,906,658
C2308,1,0,State - JAMMU & KASHMIR,Rural,8,223830,117665,106165,50309,23949,26360,173521,93716,79805,1959,1222,737,170321,91788,78533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,706,535
C2308,1,0,State - JAMMU & KASHMIR,Rural,9,195583,102930,92653,32247,14797,17450,163336,88133,75203,1634,1033,601,142152,76710,65442,18678,9891,8787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,499,373
C2308,1,0,State - JAMMU & KASHMIR,Rural,10,244857,129213,115644,43350,20001,23349,201507,109212,92295,2141,1303,838,131027,71040,59987,67258,36274,30984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,595,486
C2308,1,0,State - JAMMU & KASHMIR,Rural,11,220044,115820,104224,28579,12356,16223,191465,103464,88001,1826,1113,713,62379,33759,28620,126422,68113,58309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,479,359
C2308,1,0,State - JAMMU & KASHMIR,Rural,12,226066,118391,107675,26979,10469,16510,199087,107922,91165,1726,1013,713,25328,13501,11827,148849,80611,68238,22474,12383,10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,414,296
C2308,1,0,State - JAMMU & KASHMIR,Rural,13,202068,105405,96663,21785,7983,13802,180283,97422,82861,1474,893,581,10372,5348,5024,114247,61838,52409,53595,29014,24581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,329,266
C2308,1,0,State - JAMMU & KASHMIR,Rural,14,204201,106682,97519,22412,7740,14672,181789,98942,82847,1518,868,650,5660,2889,2771,66466,36235,30231,107586,58638,48948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,312,247
C2308,1,0,State - JAMMU & KASHMIR,Rural,15,207140,106785,100355,27512,9120,18392,179628,97665,81963,1578,886,692,4056,2047,2009,35159,18728,16431,98952,53783,45169,39297,21899,17398,0,0,0,0,0,0,0,0,0,0,0,0,586,322,264
C2308,1,0,State - JAMMU & KASHMIR,Rural,16,199394,102617,96777,27651,8689,18962,171743,93928,77815,1541,860,681,3398,1665,1733,21115,11050,10065,74308,40567,33741,70893,39485,31408,0,0,0,0,0,0,0,0,0,0,0,0,488,301,187
C2308,1,0,State - JAMMU & KASHMIR,Rural,17,164377,85481,78896,22380,7027,15353,141997,78454,63543,1433,808,625,2509,1257,1252,13709,7359,6350,46893,25683,21210,77089,43138,33951,0,0,0,0,0,0,0,0,0,0,0,0,364,209,155
C2308,1,0,State - JAMMU & KASHMIR,Rural,18,205879,105200,100679,38087,11790,26297,167792,93410,74382,2206,1190,1016,3262,1670,1592,16461,8763,7698,48360,26345,22015,55575,31420,24155,40201,22968,17233,237,163,74,972,605,367,0,0,0,518,286,232
C2308,1,0,State - JAMMU & KASHMIR,Rural,19,149318,77015,72303,25462,7386,18076,123856,69629,54227,1704,954,750,2292,1245,1047,10819,5785,5034,31687,17347,14340,35535,20250,15285,40397,23109,17288,173,131,42,882,603,279,0,0,0,367,205,162
C2308,1,0,State - JAMMU & KASHMIR,Rural,20-24,827361,423292,404069,197423,59389,138034,629938,363903,266035,12654,7307,5347,11981,6823,5158,65020,35200,29820,165131,91766,73365,145037,86334,58703,157056,92713,64343,872,606,266,4293,2932,1361,65945,39142,26803,1949,1080,869
C2308,1,0,State - JAMMU & KASHMIR,Rural,25-29,738568,385544,353024,236150,72743,163407,502418,312801,189617,16483,10348,6135,9469,5683,3786,54874,30846,24028,150385,90631,59754,117955,77367,40588,82184,53172,29012,512,382,130,2650,1838,812,66135,41495,24640,1771,1039,732
C2308,1,0,State - JAMMU & KASHMIR,Rural,30-34,636137,333062,303075,247765,79317,168448,388372,253745,134627,13182,8379,4803,8952,5575,3377,51776,29737,22039,127854,83728,44126,93244,63877,29367,50623,33681,16942,339,260,79,1917,1391,526,38909,26142,12767,1576,975,601
C2308,1,0,State - JAMMU & KASHMIR,Rural,35-39,568825,294268,274557,264090,86738,177352,304735,207530,97205,10488,6563,3925,7887,4982,2905,45950,26742,19208,102519,70913,31606,74609,52874,21735,33539,23789,9750,200,162,38,1477,1152,325,26663,19497,7166,1403,856,547
C2308,1,0,State - JAMMU & KASHMIR,Rural,40-44,483222,256988,226234,260175,94929,165246,223047,162059,60988,8783,5809,2974,6827,4504,2323,35888,21715,14173,71127,52785,18342,57922,44386,13536,19447,14845,4602,127,105,22,933,770,163,20688,16328,4360,1305,812,493
C2308,1,0,State - JAMMU & KASHMIR,Rural,45-49,395959,205036,190923,237511,86146,151365,158448,118890,39558,6645,4269,2376,5699,3940,1759,30778,19296,11482,50311,39234,11077,40296,32130,8166,9087,7245,1842,101,92,9,644,573,71,13818,11464,2354,1069,647,422
C2308,1,0,State - JAMMU & KASHMIR,Rural,50-54,319992,173804,146188,204741,82496,122245,115251,91308,23943,5205,3479,1726,4575,3389,1186,23591,15982,7609,37175,30643,6532,30411,25745,4666,4798,4022,776,67,61,6,399,357,42,8133,7056,1077,897,574,323
C2308,1,0,State - JAMMU & KASHMIR,Rural,55-59,227495,114641,112854,153380,54480,98900,74115,60161,13954,3524,2244,1280,3209,2320,889,15312,10602,4710,21462,18154,3308,21163,18574,2589,3106,2739,367,52,49,3,225,205,20,5455,4925,530,607,349,258
C2308,1,0,State - JAMMU & KASHMIR,Rural,60-64,226005,121240,104765,169038,73350,95688,56967,47890,9077,3455,2250,1205,3310,2618,692,14126,10687,3439,15067,13190,1877,14218,13060,1158,1898,1748,150,42,36,6,128,118,10,3960,3710,250,763,473,290
C2308,1,0,State - JAMMU & KASHMIR,Rural,65-69,140720,70780,69940,110045,44806,65239,30675,25974,4701,2240,1379,861,2111,1685,426,8147,6614,1533,7564,6633,931,6801,6281,520,966,852,114,33,32,1,84,79,5,2182,2091,91,547,328,219
C2308,1,0,State - JAMMU & KASHMIR,Rural,70-74,132084,70777,61307,111093,52813,58280,20991,17964,3027,2199,1410,789,2025,1685,340,6539,5604,935,4656,4252,404,3362,3141,221,504,430,74,29,26,3,43,41,2,1105,1054,51,529,321,208
C2308,1,0,State - JAMMU & KASHMIR,Rural,75-79,58918,29980,28938,49776,22280,27496,9142,7700,1442,1111,682,429,997,831,166,3090,2664,426,1898,1733,165,1235,1144,91,160,137,23,13,11,2,19,16,3,341,312,29,278,170,108
C2308,1,0,State - JAMMU & KASHMIR,Rural,80+,94242,49712,44530,79064,37929,41135,15178,11783,3395,1885,1140,745,1458,1213,245,4475,3780,695,3262,2605,657,2070,1643,427,886,609,277,33,31,2,39,28,11,666,498,168,404,236,168
C2308,1,0,State - JAMMU & KASHMIR,Rural,Age not stated,10843,6859,3984,4073,2071,2002,6770,4788,1982,3090,2505,585,554,313,241,723,394,329,843,534,309,685,465,220,431,270,161,3,2,1,16,15,1,288,200,88,137,90,47
C2308,1,0,State - JAMMU & KASHMIR,Urban,All ages,3433242,1866185,1567057,1113959,493263,620696,2319283,1372922,946361,81544,52499,29045,224184,121803,102381,286437,155002,131435,423272,244568,178704,524576,336459,188117,331154,204471,126683,1948,1393,555,36101,23131,12970,399476,227365,172111,10591,6231,4360
C2308,1,0,State - JAMMU & KASHMIR,Urban,0-6,425897,230214,195683,425897,230214,195683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,1,0,State - JAMMU & KASHMIR,Urban,7,58614,30974,27640,15336,7853,7483,43278,23121,20157,1015,613,402,41791,22248,19543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,260,212
C2308,1,0,State - JAMMU & KASHMIR,Urban,8,61484,32805,28679,9453,4726,4727,52031,28079,23952,745,461,284,50881,27382,23499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,236,169
C2308,1,0,State - JAMMU & KASHMIR,Urban,9,56517,30441,26076,6506,3339,3167,50011,27102,22909,705,427,278,42174,22740,19434,6790,3712,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,223,119
C2308,1,0,State - JAMMU & KASHMIR,Urban,10,69426,37560,31866,8762,4444,4318,60664,33116,27548,981,639,342,38427,21070,17357,20849,11125,9724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,282,125
C2308,1,0,State - JAMMU & KASHMIR,Urban,11,62005,33441,28564,5561,2740,2821,56444,30701,25743,722,483,239,16668,9278,7390,38745,20728,18017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,212,97
C2308,1,0,State - JAMMU & KASHMIR,Urban,12,63732,33974,29758,5023,2407,2616,58709,31567,27142,775,538,237,6206,3482,2724,43178,22917,20261,8292,4462,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,168,90
C2308,1,0,State - JAMMU & KASHMIR,Urban,13,59011,31323,27688,3974,1840,2134,55037,29483,25554,666,469,197,2465,1356,1109,32699,17549,15150,19021,10005,9016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,104,82
C2308,1,0,State - JAMMU & KASHMIR,Urban,14,62443,33046,29397,4368,1966,2402,58075,31080,26995,714,455,259,1181,646,535,17352,9469,7883,38672,20414,18258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,96,60
C2308,1,0,State - JAMMU & KASHMIR,Urban,15,63852,33717,30135,5024,2327,2697,58828,31390,27438,675,448,227,886,492,394,8005,4414,3591,31470,16821,14649,17633,9125,8508,0,0,0,0,0,0,0,0,0,0,0,0,159,90,69
C2308,1,0,State - JAMMU & KASHMIR,Urban,16,63647,33460,30187,4913,2145,2768,58734,31315,27419,672,426,246,751,436,315,4548,2505,2043,19446,10506,8940,33169,17357,15812,0,0,0,0,0,0,0,0,0,0,0,0,148,85,63
C2308,1,0,State - JAMMU & KASHMIR,Urban,17,57242,29940,27302,4368,1916,2452,52874,28024,24850,585,358,227,655,365,290,2964,1711,1253,10517,5696,4821,38008,19813,18195,0,0,0,0,0,0,0,0,0,0,0,0,145,81,64
C2308,1,0,State - JAMMU & KASHMIR,Urban,18,70337,36630,33707,6837,2944,3893,63500,33686,29814,891,545,346,958,507,451,3693,2060,1633,10306,5437,4869,19727,10683,9044,25196,12948,12248,87,75,12,2463,1325,1138,0,0,0,179,106,73
C2308,1,0,State - JAMMU & KASHMIR,Urban,19,56276,29517,26759,5068,2067,3001,51208,27450,23758,723,441,282,870,489,381,2569,1569,1000,7174,3820,3354,11050,6050,5000,26603,13786,12817,79,66,13,1996,1143,853,0,0,0,144,86,58
C2308,1,0,State - JAMMU & KASHMIR,Urban,20-24,333552,180286,153266,39347,15089,24258,294205,165197,129008,7325,4654,2671,3743,2076,1667,14839,8225,6614,41395,22869,18526,55909,34877,21032,91828,53043,38785,425,294,131,8009,4741,3268,69880,33916,35964,852,502,350
C2308,1,0,State - JAMMU & KASHMIR,Urban,25-29,347554,199015,148539,52393,18700,33693,295161,180315,114846,14045,9642,4403,2354,1319,1035,12683,6957,5726,44056,25038,19018,70413,49698,20715,59429,40320,19109,292,201,91,6198,3716,2482,84629,42717,41912,1062,707,355
C2308,1,0,State - JAMMU & KASHMIR,Urban,30-34,290766,162684,128082,58564,20547,38017,232202,142137,90065,11167,7457,3710,2235,1208,1027,12314,6560,5754,39909,23768,16141,59938,41434,18504,40710,26138,14572,216,156,60,4834,2969,1865,59965,31858,28107,914,589,325
C2308,1,0,State - JAMMU & KASHMIR,Urban,35-39,269120,146997,122123,70264,24822,45442,198856,122175,76681,9371,6064,3307,2212,1248,964,12959,6779,6180,37842,22395,15447,54430,36470,17960,30380,19364,11016,149,107,42,3848,2430,1418,46814,26806,20008,851,512,339
C2308,1,0,State - JAMMU & KASHMIR,Urban,40-44,230863,130751,100112,69047,26274,42773,161816,104477,57339,7649,5101,2548,1988,1188,800,11533,6434,5099,31720,20029,11691,48317,33543,14774,20728,13966,6762,145,114,31,2417,1716,701,36553,21940,14613,766,446,320
C2308,1,0,State - JAMMU & KASHMIR,Urban,45-49,194831,106524,88307,64773,23864,40909,130058,82660,47398,5906,3696,2210,1722,1033,689,10641,6030,4611,27489,17800,9689,36607,23619,12988,13502,8927,4575,121,96,25,2051,1604,447,31374,19486,11888,645,369,276
C2308,1,0,State - JAMMU & KASHMIR,Urban,50-54,148574,81795,66779,53898,21154,32744,94676,60641,34035,4084,2442,1642,1264,756,508,7803,4420,3383,19399,12517,6882,27938,17774,10164,8704,5797,2907,89,72,17,1425,1137,288,23477,15470,8007,493,256,237
C2308,1,0,State - JAMMU & KASHMIR,Urban,55-59,112536,58112,54424,45153,15001,30152,67383,43111,24272,2995,1661,1334,983,530,453,5602,2821,2781,12292,7429,4863,19515,12479,7036,5770,3953,1817,74,61,13,987,775,212,18815,13229,5586,350,173,177
C2308,1,0,State - JAMMU & KASHMIR,Urban,60-64,96721,52187,44534,46789,18316,28473,49932,33871,16061,2474,1454,1020,1027,541,486,5448,2967,2481,9304,5896,3408,13746,9489,4257,3769,2763,1006,67,43,24,753,631,122,12978,9912,3066,366,175,191
C2308,1,0,State - JAMMU & KASHMIR,Urban,65-69,63245,31963,31282,33615,11846,21769,29630,20117,9513,1678,928,750,805,391,414,3771,1823,1948,5883,3670,2213,7755,5638,2117,1891,1452,439,47,31,16,492,420,72,7024,5614,1410,284,150,134
C2308,1,0,State - JAMMU & KASHMIR,Urban,70-74,51935,26695,25240,31993,12652,19341,19942,14043,5899,1487,773,714,777,393,384,3160,1768,1392,4037,2651,1386,4798,3836,962,1039,830,209,72,29,43,283,247,36,4023,3397,626,266,119,147
C2308,1,0,State - JAMMU & KASHMIR,Urban,75-79,26158,13114,13044,15837,5874,9963,10321,7240,3081,806,396,410,455,241,214,1911,1058,853,2266,1475,791,2411,2020,391,461,376,85,32,16,16,157,134,23,1683,1455,228,139,69,70
C2308,1,0,State - JAMMU & KASHMIR,Urban,80+,32628,16132,16496,20057,7605,12452,12571,8527,4044,1121,592,529,552,298,254,2216,1312,904,2553,1731,822,2842,2292,550,891,646,245,40,19,21,172,133,39,1960,1413,547,224,91,133
C2308,1,0,State - JAMMU & KASHMIR,Urban,Age not stated,4276,2888,1388,1139,591,548,3137,2297,840,1567,1336,231,154,90,64,165,89,76,229,139,90,370,262,108,253,162,91,13,13,0,16,10,6,301,152,149,69,44,25
C2308,2,0,State - HIMACHAL PRADESH,Total,All ages,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,130023,64537,65486,611475,326058,285417,1162995,576764,586231,826611,452919,373692,1127997,666498,461499,662457,368592,293865,8519,4077,4442,53413,37213,16200,446609,251164,195445,9637,4768,4869
C2308,2,0,State - HIMACHAL PRADESH,Total,0-6,777898,407459,370439,777898,407459,370439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,2,0,State - HIMACHAL PRADESH,Total,7,122039,63842,58197,19485,10007,9478,102554,53835,48719,1037,576,461,101020,52985,48035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,274,223
C2308,2,0,State - HIMACHAL PRADESH,Total,8,117124,61593,55531,6140,2983,3157,110984,58610,52374,650,360,290,110131,58142,51989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,108,95
C2308,2,0,State - HIMACHAL PRADESH,Total,9,119100,63574,55526,4563,2289,2274,114537,61285,53252,705,379,326,100542,53977,46565,13124,6825,6299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,104,62
C2308,2,0,State - HIMACHAL PRADESH,Total,10,134596,71647,62949,6175,3127,3048,128421,68520,59901,793,426,367,69575,37525,32050,57898,30474,27424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,95,60
C2308,2,0,State - HIMACHAL PRADESH,Total,11,127447,67693,59754,3658,1781,1877,123789,65912,57877,787,420,367,23509,12803,10706,99379,52629,46750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,60,54
C2308,2,0,State - HIMACHAL PRADESH,Total,12,125830,66799,59031,2750,1278,1472,123080,65521,57559,703,410,293,7732,4160,3572,103600,55211,48389,10936,5689,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,51,58
C2308,2,0,State - HIMACHAL PRADESH,Total,13,124125,65336,58789,2508,1143,1365,121617,64193,57424,678,374,304,3309,1771,1538,75324,40257,35067,42201,21731,20470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,60,45
C2308,2,0,State - HIMACHAL PRADESH,Total,14,127226,66765,60461,2669,1239,1430,124557,65526,59031,706,383,323,1943,1024,919,38639,20751,17888,83181,43321,39860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,47,41
C2308,2,0,State - HIMACHAL PRADESH,Total,15,127378,67225,60153,3264,1550,1714,124114,65675,58439,859,456,403,1703,931,772,20101,10999,9102,72290,38418,33872,29044,14800,14244,0,0,0,0,0,0,0,0,0,0,0,0,117,71,46
C2308,2,0,State - HIMACHAL PRADESH,Total,16,126410,66658,59752,3032,1495,1537,123378,65163,58215,941,495,446,1509,846,663,13576,7338,6238,43610,23489,20121,63640,32942,30698,0,0,0,0,0,0,0,0,0,0,0,0,102,53,49
C2308,2,0,State - HIMACHAL PRADESH,Total,17,124585,65721,58864,2869,1386,1483,121716,64335,57381,1121,612,509,1530,888,642,11038,5957,5081,25145,13865,11280,82781,42962,39819,0,0,0,0,0,0,0,0,0,0,0,0,101,51,50
C2308,2,0,State - HIMACHAL PRADESH,Total,18,136759,72265,64494,4513,2212,2301,132246,70053,62193,1709,987,722,2137,1280,857,12708,6995,5713,18492,10292,8200,48752,26311,22441,46225,22707,23518,76,48,28,2039,1365,674,0,0,0,108,68,40
